F0,F1,parental.id,PW1,PW2,PW3,PW4,PW5,PW6,PW7,PW8,PW9,PW10,PW11,PW12,PW13,PW14,PW15,PW16
S,S,7,0.002835384,-0.002781951,-0.000405874,0.000773387,-0.005624832,-0.004173177,-0.015372114,-0.008383104,-0.000381423,-0.000638029,0.014659077,0.00287258,0.001856703,0.008318734,0.005896814,-0.007403389
S,S,7,0.007930953,0.005499284,0.000267218,-0.000414686,0.014789829,-0.003197387,-0.010139192,0.00598677,-0.012182547,-0.00312891,0.004812075,0.010228714,0.038063122,0.00328239,0.014444216,0.014642749
S,S,7,0.003255842,0.003736673,0.009072886,0.002939264,0.000385797,-0.001477506,0.000902029,0.003499084,0.00461916,-0.001040459,0.011458051,0.002844774,-0.004671895,0.012566097,-0.005209515,0.003043517
S,S,7,-0.001622612,0.009147266,0.015665071,-0.003105683,0.002055127,0.00076902,0.017046869,0.005178339,-0.004847802,0.00623625,-0.005883511,-0.014071932,-0.016627579,0.000475588,-0.022577988,-0.011237562
S,S,8,-0.010562873,0.008986409,0.008722884,-0.002851467,0.007138425,-0.003643097,0.020072026,0.006484967,0.008775637,0.002376922,-0.011072026,-0.001529787,-0.014946538,-0.012558263,-0.045591914,0.002356728
S,S,8,-0.004175188,0.007521048,0.004201563,-0.000758019,0.000152214,-0.002845643,0.010012976,0.004627339,-0.018943638,0.003508641,-0.007223951,-0.002359071,-0.02691345,-0.008813992,-0.025358522,-0.003103287
S,S,8,-0.0064969,0.005180728,0.01119201,-0.003692703,0.001014809,-0.001405277,0.00665548,0.005730808,0.000581662,0.001927814,0.017935618,-0.001810393,-0.017813996,0.009409893,-0.012104714,0.01214647
S,S,8,-0.013089696,0.00865139,0.009765464,-0.002003726,0.002832643,0.000739529,0.019831068,0.006179726,-0.008316351,0.001999353,0.005933615,-0.003360887,-0.026412448,0.003152782,-0.021286403,-0.001510511
S,S,8,-0.007889077,0.007838988,0.006569238,-0.001909791,-0.000106552,0.000727141,0.012535527,0.008086334,-0.005527422,0.000653509,0.003172326,-0.004888765,-0.021414188,0.001861584,-0.026144902,-0.003926128
S,E,9,0.002335031,0.0036554,0.010150545,0.002383625,0.003443124,-0.000353791,0.005288348,0.005276168,-0.003692539,-0.002382859,0.002058165,0.006355674,-0.008940477,0.001332718,-0.013928528,-0.006259522
S,E,9,-0.003965704,-0.010075661,0.002191672,-0.003283473,-0.010918352,-0.009073612,-0.000695182,-0.022840376,0.009022667,-0.00147945,0.009807361,0.014162175,0.016445318,0.011912719,0.019981671,-0.006408644
S,E,9,-0.005721151,0.004503138,-0.001398228,5.76E-05,-0.000839291,-0.000840145,0.000688699,-0.002763529,-0.009602473,-0.000150701,0.005592131,-0.001343257,0.005104631,0.000428457,-0.006999789,-0.001765852
S,E,9,0.000695785,-0.013835633,-0.024074954,-0.005911748,-0.00953701,-0.005129659,-0.020920018,-0.013989482,0.018479816,0.003016638,0.003006754,-0.001634275,0.013780763,0.00854641,0.012119948,-0.013127097
S,E,9,-0.001691492,-0.009918467,0.001033501,-0.004262069,-0.004394918,-0.006067071,-0.0085837,-0.013643804,0.014366952,0.002264191,0.000150188,0.005881602,0.002293238,0.020019648,0.03747268,0.000759951
S,E,10,4.05E-05,0.000362598,0.007170244,0.001288228,0.004164089,-0.002577732,-0.007580086,-0.0025748,-0.016005401,-0.003395546,0.011579439,-0.000674342,0.011125193,-0.011866156,-0.010648489,-0.000250429
S,E,10,0.003996123,0.000177997,-0.003981189,0.001781535,0.003509795,-0.003662356,0.004781351,0.001748594,-0.028961845,-0.000224282,7.45E-05,0.004118859,0.003288308,-0.016428171,0.0060628,-0.010346844
S,E,10,-0.01486666,-0.01313869,-0.019421403,-0.003557622,-0.009080296,-0.004419035,-0.036506611,-0.024479045,0.011992732,0.002821386,-0.007158227,0.00988626,0.00653951,0.014673993,0.024313368,-0.010399705
S,E,10,4.59E-05,0.005621381,-0.003880579,0.000293467,0.002083514,0.00015695,0.021468307,0.002365982,0.003785349,-0.001227621,0.00198948,0.000743579,-0.001500452,0.016600358,-0.017945347,0.005593499
S,E,10,0.010479459,-0.01246257,-0.012926271,-4.22E-05,-0.009106649,-0.003461467,4.66E-05,-0.018772374,0.018169328,1.28E-05,0.009323369,0.002566743,0.007816943,-0.003806992,0.019782908,-0.001812084
S,E,11,-0.006872759,-0.010798187,-0.006685582,0.000772603,0.000480744,-0.00119862,-0.028191361,-0.004218496,-0.014095419,0.001973817,0.029523231,-0.002793639,0.005825883,-0.000241986,0.009006418,0.015135919
S,E,11,0.00324251,-0.007823309,-0.008546045,-0.003132648,-0.008385687,-0.003867432,-0.001118533,-0.00459081,0.021351208,-0.000979604,-0.022078932,-0.002984994,0.024269249,-0.008986837,0.015471035,0.002559107
S,E,11,-0.004399819,-0.004288019,-0.014641995,0.00088302,-0.012496956,-0.002414462,0.00208533,0.000527592,0.006949853,-0.001698916,-0.017172297,0.002406936,-0.008768276,-0.006603182,0.016331588,0.004120057
S,E,11,-0.003472265,0.00247829,-0.007912248,0.004263832,0.003355721,-1.48E-05,-0.003450977,0.012028206,0.003669578,-0.004010291,-0.014911872,-0.005621213,0.009842043,-0.011238311,-0.012026819,0.004576721
S,E,11,-0.000473188,-0.008565676,-0.010853547,-0.002179168,-0.003987748,-0.003892008,-0.015047543,-0.011243116,0.01198708,0.00072222,-0.004560455,0.0037108,0.003063494,0.001918762,0.007182863,-0.000535433
